prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
JMTG01,WGS,,BCT,Helicobacter pylori,PRJNA246665,SAMN02769480,strain: oki891,"host: Homo sapiens,isolation_source: Stomach biopsy",1586942,41,0,No,0,0,0,No,,,2020-05-28T00:00:00Z,2020-05-28T00:00:00Z
JMTH01,WGS,,BCT,Helicobacter pylori,PRJNA246666,SAMN02769481,strain: oki1420,"host: Homo sapiens,isolation_source: Stomach biopsy",1590909,50,0,No,0,0,0,No,,,2020-05-28T00:00:00Z,2020-05-28T00:00:00Z
JOKW01,WGS,,BCT,Helicobacter pylori,PRJNA252946,SAMN02864842,strain: Col2025,"host: Homo sapiens,isolation_source: stomach biopsy",1638204,54,1451,Yes,0,0,0,No,,,2015-04-15T00:00:00Z,2014-07-17T00:00:00Z
JQNY01,WGS,,BCT,Helicobacter pylori,PRJNA259568,SAMN03009498,strain: Taiwan-47,"host: Homo sapiens,isolation_source: stomach biopsy",1577473,58,0,No,0,0,0,No,,,2014-10-21T00:00:00Z,2014-10-10T00:00:00Z
JRAC01,WGS,,BCT,Helicobacter pylori,PRJNA259567,SAMN03009497,strain: Manado-1,"host: Homo sapiens,isolation_source: stomach biopsy",1539815,38,0,No,0,0,0,No,,,2014-10-21T00:00:00Z,2014-10-10T00:00:00Z
NZ_RJDZ01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN10334307,strain: ZH01,"host: Homo sapiens,isolation_source: stomach biopsy",0,0,0,No,0,0,0,No,NZ_RJDZ01000001-NZ_RJDZ01000047,,2021-03-03T00:00:00Z,2019-01-13T00:00:00Z
NZ_NXMB01,WGS,,BCT,Streptococcus salivarius,PRJNA224116,SAMN07710846,strain: MIT 14-1770-C1,"host: Homo sapiens,isolation_source: stomach biopsy",0,0,0,No,0,0,0,No,NZ_NXMB01000001-NZ_NXMB01000045,,2021-07-23T00:00:00Z,2017-10-07T00:00:00Z
NZ_NXMC01,WGS,,BCT,Staphylococcus epidermidis,PRJNA224116,SAMN07710845,strain: MIT 14-1777-C6,"host: Homo sapiens,isolation_source: stomach biopsy",0,0,0,No,0,0,0,No,NZ_NXMC01000001-NZ_NXMC01000062,,2021-07-23T00:00:00Z,2017-10-07T00:00:00Z
RJDZ01,WGS,,BCT,Helicobacter pylori,PRJNA498768,SAMN10334307,strain: ZH01,"host: Homo sapiens,isolation_source: stomach biopsy",1625309,47,1485,Yes,0,0,0,No,,,2019-01-11T00:00:00Z,2019-01-11T00:00:00Z
AVNI01,WGS,,BCT,Helicobacter pylori SouthAfrica50,PRJNA209861,SAMN02472070,strain: SouthAfrica50,"host: Homo sapiens,isolation_source: stomach",1600214,2,1895,Yes,0,0,0,No,,,2014-01-08T00:00:00Z,2013-08-20T00:00:00Z
JABKCC01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930126,strain: 17A6,"host: Homo sapiens,isolation_source: stomach",1643694,61,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCD01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930127,strain: 19B6,"host: Homo sapiens,isolation_source: stomach",1600763,38,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCE01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930133,strain: 25b2,"host: Homo sapiens,isolation_source: stomach",1641783,41,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCF01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930135,strain: 20A8,"host: Homo sapiens,isolation_source: stomach",1659973,40,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCG01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930134,strain: 28B4,"host: Homo sapiens,isolation_source: stomach",1616466,22,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCH01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930141,strain: 37A5,"host: Homo sapiens,isolation_source: stomach",1662458,70,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCI01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930136,strain: 40A6,"host: Homo sapiens,isolation_source: stomach",1640998,53,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCJ01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930137,strain: 43a2,"host: Homo sapiens,isolation_source: stomach",1635561,39,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCK01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930128,strain: 44A4,"host: Homo sapiens,isolation_source: stomach",1591152,35,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCL01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930139,strain: 59a9,"host: Homo sapiens,isolation_source: stomach",1641723,42,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCM01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930144,strain: 60A7,"host: Homo sapiens,isolation_source: stomach",1642721,46,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCN01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930143,strain: 61A5,"host: Homo sapiens,isolation_source: stomach",1602458,36,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCO01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930140,strain: 149A3,"host: Homo sapiens,isolation_source: stomach",1634281,49,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCP01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930129,strain: 86A5,"host: Homo sapiens,isolation_source: stomach",1616047,28,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCQ01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930130,strain: 88A4,"host: Homo sapiens,isolation_source: stomach",1617325,43,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCR01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930145,strain: 89B9,"host: Homo sapiens,isolation_source: stomach",1619489,33,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCS01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930138,strain: GJ906,"host: Homo sapiens,isolation_source: stomach",1612378,30,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCT01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930131,strain: S106A3,"host: Homo sapiens,isolation_source: stomach",1609865,40,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCU01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930132,strain: S108A3,"host: Homo sapiens,isolation_source: stomach",1645721,41,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
JABKCV01,WGS,,BCT,Helicobacter pylori,PRJNA632997,SAMN14930142,strain: 152B5,"host: Homo sapiens,isolation_source: stomach",1579779,28,0,No,0,0,0,No,,,2020-07-24T00:00:00Z,2020-07-24T00:00:00Z
NTJB01,WGS,,BCT,Bacillus cereus,PRJNA403799,SAMN07627088,strain: BCE-01,"host: Homo sapiens,isolation_source: stomach",5715774,151,0,No,0,0,0,No,,,2018-02-01T00:00:00Z,2018-02-01T00:00:00Z
NTMN01,WGS,,BCT,Bacillus cereus,PRJNA403799,SAMN07622472,strain: HZBCE-02,"host: Homo sapiens,isolation_source: stomach",5711934,79,5859,Yes,0,0,0,No,,,2017-10-12T00:00:00Z,2017-10-12T00:00:00Z
NTMO01,WGS,,BCT,Bacillus cereus,PRJNA403799,SAMN07622471,strain: HZBCE-01,"host: Homo sapiens,isolation_source: stomach",5704822,78,5855,Yes,0,0,0,No,,,2017-10-12T00:00:00Z,2017-10-12T00:00:00Z
LLKT01,WGS,,BCT,Helicobacter pylori,PRJNA298832,SAMN04166656,strain: p574,"host: Homo sapiens,isolation_source: stomach",1618816,152,0,No,0,0,0,No,,,2021-08-24T00:00:00Z,2021-08-24T00:00:00Z
LLWG01,WGS,,BCT,Helicobacter pylori,PRJNA298832,SAMN04193471,strain: V1354,"host: Homo sapiens,isolation_source: stomach",1660614,141,0,No,0,0,0,No,,,2021-08-24T00:00:00Z,2021-08-24T00:00:00Z
LFRE01,WGS,,BCT,Acinetobacter sp. VT 511,PRJNA287555,SAMN03783304,strain: VT 511,"host: Homo sapiens,isolation_source: stomach",3416321,121,3153,Yes,0,0,0,No,,,2015-07-14T00:00:00Z,2015-07-14T00:00:00Z
LMXQ01,WGS,,BCT,Helicobacter pylori,PRJNA298832,SAMN04166966,strain: 633,"host: Homo sapiens,isolation_source: stomach",1695025,176,0,No,0,0,0,No,,,2019-01-31T00:00:00Z,2019-01-29T00:00:00Z
LMXR01,WGS,,BCT,Helicobacter pylori,PRJNA298832,SAMN04167086,strain: V1267,"host: Homo sapiens,isolation_source: stomach",1635652,143,0,No,0,0,0,No,,,2019-01-29T00:00:00Z,2019-01-29T00:00:00Z
LMXS01,WGS,,BCT,Helicobacter pylori,PRJNA298832,SAMN04167067,strain: V1086,"host: Homo sapiens,isolation_source: stomach",1694772,187,0,No,0,0,0,No,,,2019-01-29T00:00:00Z,2019-01-29T00:00:00Z
LMYK01,WGS,,BCT,Helicobacter pylori,PRJNA298832,SAMN04167084,strain: V1254,"host: Homo sapiens,isolation_source: stomach",1668819,165,0,No,0,0,0,No,,,2021-08-24T00:00:00Z,2021-08-24T00:00:00Z
MKZW03,WGS,,BCT,[Kluyvera] intestini,PRJNA342563,SAMN05762249,strain: GT-16,"host: Homo sapiens,isolation_source: stomach",5784959,57,5390,Yes,0,0,0,No,,,2018-05-14T00:00:00Z,2018-05-14T00:00:00Z
JACVEU01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791805,strain: NYPt273,"host: Homo sapiens,isolation_source: stomach",1619241,42,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACVEV01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791803,strain: NYPt189,"host: Homo sapiens,isolation_source: stomach",1634260,56,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTAV01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791841,strain: VE-HV265,"host: Homo sapiens,isolation_source: stomach",1634474,35,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTAW01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791840,strain: VE-HV076,"host: Homo sapiens,isolation_source: stomach",1651327,33,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTAX01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791839,strain: VE-HV073,"host: Homo sapiens,isolation_source: stomach",1603578,34,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTAY01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791838,strain: VE-HV055,"host: Homo sapiens,isolation_source: stomach",1596927,18,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTAZ01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791837,strain: VE-HET109,"host: Homo sapiens,isolation_source: stomach",1647483,32,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBA01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791836,strain: VE-HET084,"host: Homo sapiens,isolation_source: stomach",1720397,49,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBB01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791835,strain: VE-HET057,"host: Homo sapiens,isolation_source: stomach",1596732,20,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBC01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791834,strain: VE-HET052,"host: Homo sapiens,isolation_source: stomach",1641231,27,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBD01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791833,strain: VE-HET046,"host: Homo sapiens,isolation_source: stomach",1657181,34,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBE01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791832,strain: VE-HET044,"host: Homo sapiens,isolation_source: stomach",1619549,25,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBF01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791831,strain: VE-HET009,"host: Homo sapiens,isolation_source: stomach",1628918,38,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBG01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791830,strain: Pt-8434,"host: Homo sapiens,isolation_source: stomach",1601990,55,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBH01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791829,strain: Pt-8427,"host: Homo sapiens,isolation_source: stomach",1595999,21,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBI01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791828,strain: Pt-8376,"host: Homo sapiens,isolation_source: stomach",1573563,30,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBJ01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791827,strain: Pt-8360,"host: Homo sapiens,isolation_source: stomach",1635168,33,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBK01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791826,strain: Pt-8323,"host: Homo sapiens,isolation_source: stomach",1637455,29,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBL01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791825,strain: Pt-8311,"host: Homo sapiens,isolation_source: stomach",1591462,20,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBM01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791824,strain: Pt-8284,"host: Homo sapiens,isolation_source: stomach",1610419,27,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBN01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791823,strain: Pt-8259,"host: Homo sapiens,isolation_source: stomach",1609243,23,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBO01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791822,strain: Pt-8220,"host: Homo sapiens,isolation_source: stomach",1578142,28,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBP01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791821,strain: Pt-8186,"host: Homo sapiens,isolation_source: stomach",1638215,33,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBQ01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791820,strain: Pt-7901,"host: Homo sapiens,isolation_source: stomach",1568697,30,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBR01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791819,strain: Pt-7854,"host: Homo sapiens,isolation_source: stomach",1635528,36,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBS01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791818,strain: Pt-7757,"host: Homo sapiens,isolation_source: stomach",1593493,26,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBT01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791817,strain: Pt-7739,"host: Homo sapiens,isolation_source: stomach",1628095,62,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBU01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791815,strain: NYPt94,"host: Homo sapiens,isolation_source: stomach",1632404,42,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBV01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791814,strain: NYPt82,"host: Homo sapiens,isolation_source: stomach",1612552,39,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBW01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791813,strain: NYPt72,"host: Homo sapiens,isolation_source: stomach",1567675,36,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBX01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791811,strain: NYPt64,"host: Homo sapiens,isolation_source: stomach",1617209,28,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBY01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791810,strain: NYPt328,"host: Homo sapiens,isolation_source: stomach",1638029,57,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTBZ01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791809,strain: NYPt310,"host: Homo sapiens,isolation_source: stomach",1643648,45,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCA01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791808,strain: NYPt297,"host: Homo sapiens,isolation_source: stomach",1598959,70,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCB01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791807,strain: NYPt292,"host: Homo sapiens,isolation_source: stomach",1678299,46,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCC01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791806,strain: NYPt281,"host: Homo sapiens,isolation_source: stomach",1658224,70,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCD01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791804,strain: NYPt19,"host: Homo sapiens,isolation_source: stomach",1579381,34,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCE01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791801,strain: NYPt186,"host: Homo sapiens,isolation_source: stomach",1598961,41,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCF01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791800,strain: NYPt170,"host: Homo sapiens,isolation_source: stomach",1647422,41,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCG01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791799,strain: NYPt154,"host: Homo sapiens,isolation_source: stomach",1632086,49,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCH01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791798,strain: NYPt133,"host: Homo sapiens,isolation_source: stomach",1640946,67,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCI01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791796,strain: NYPt130,"host: Homo sapiens,isolation_source: stomach",1673576,49,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCJ01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791797,strain: NYPt127,"host: Homo sapiens,isolation_source: stomach",1639355,34,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCK01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791795,strain: MX-2004-84,"host: Homo sapiens,isolation_source: stomach",1651335,31,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCL01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791794,strain: MX-2004-67,"host: Homo sapiens,isolation_source: stomach",1616533,34,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCM01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791793,strain: MX-2004-51,"host: Homo sapiens,isolation_source: stomach",1639330,27,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCN01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791792,strain: MX-2004-42,"host: Homo sapiens,isolation_source: stomach",1615878,33,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCO01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791791,strain: MX-2004-40,"host: Homo sapiens,isolation_source: stomach",1583363,27,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCP01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791790,strain: MX-2004-37,"host: Homo sapiens,isolation_source: stomach",1651690,30,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
JACTCQ01,WGS,,BCT,Helicobacter pylori,PRJNA601302,SAMN15791789,strain: MX-2004-210,"host: Homo sapiens,isolation_source: stomach",1635062,51,0,No,0,0,0,No,,,2020-09-09T00:00:00Z,2020-09-09T00:00:00Z
